CMU	IPA	cosonant	sonorant	obstruent	voiced	nasal	syllabic	fricative	plosive	back	low	front	high	labial	coronal	dorsal
D	d	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0
B	b	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0
G	g	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1
P	p	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
K	k	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1
T	t	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
SH	ʃ	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1
Z	z	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0
S	s	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0
F	f	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0
TH	θ	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
UW	u	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0
W	w	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AH	ə	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
R	r	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
L	l	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
OW	oʊ	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
AO	ɔ	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0
AY	aɪ	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
AA	a	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0
AW	aʊ	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
AE	æ	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0
EH	ɛ	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0
EY	eɪ	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Y	j	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
IH	ɪ	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0
IY	i	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0
UH	ʊ	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0
DH	ð	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
V	v	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0
M	m	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0
N	n	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0
NG	ŋ	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
